Id,SalePrice
1461,118927.151572
1462,163169.726209
1463,183708.47033
1464,193916.712903
1465,208071.968584
1466,169851.994463
1467,177485.039961
1468,159718.278128
1469,205261.132674
1470,116687.724746
1471,181989.340146
1472,97761.1949921
1473,93432.2066467
1474,145549.768772
1475,106599.459945
1476,374158.044193
1477,254954.216596
1478,298989.265893
1479,297357.002574
1480,461700.96824
1481,310496.2073
1482,208402.713162
1483,175588.486258
1484,156864.306023
1485,179450.431343
1486,198099.29017
1487,330187.036918
1488,228901.638003
1489,201979.871934
1490,246313.045378
1491,194018.046822
1492,93017.4354352
1493,194219.803001
1494,287552.257648
1495,287780.771428
1496,239098.90844
1497,179711.08319
1498,160387.65796
1499,163253.133588
1500,155256.700189
1501,187719.94386
1502,145576.585013
1503,279989.466387
1504,232195.511269
1505,220266.157828
1506,196464.069033
1507,251922.358813
1508,201464.613806
1509,160388.388419
1510,148372.837807
1511,148879.205059
1512,181916.775537
1513,153076.457585
1514,155425.43399
1515,209445.052855
1516,160608.75633
1517,187750.651787
1518,126821.282586
1519,219652.396886
1520,130173.913756
1521,135789.689682
1522,186506.169266
1523,109789.569507
1524,121217.909558
1525,118745.25955
1526,99818.4688092
1527,103129.835751
1528,140645.246929
1529,153276.69265
1530,199762.676049
1531,114658.590743
1532,92230.3812448
1533,151044.683432
1534,123450.304791
1535,160913.325014
1536,106104.922241
1537,46506.6646082
1538,160605.184274
1539,196497.517059
1540,117235.414739
1541,137506.303499
1542,155014.450956
1543,199699.49166
1544,77418.7759792
1545,119071.524164
1546,133174.841844
1547,131851.599606
1548,140067.493875
1549,117563.69247
1550,139443.532525
1551,111535.946266
1552,144690.800231
1553,152929.285627
1554,124863.664361
1555,166993.396439
1556,73617.4310322
1557,114454.94687
1558,101499.051517
1559,75360.40682
1560,130719.767258
1561,134305.884963
1562,124771.055651
1563,121631.861981
1564,160464.499892
1565,151840.404124
1566,240164.389259
1567,70787.7605806
1568,229431.199066
1569,133950.39068
1570,132051.260545
1571,122685.008159
1572,152290.107051
1573,271422.283245
1574,142445.478261
1575,243816.845262
1576,231541.016841
1577,182489.027366
1578,142962.455643
1579,144269.970455
1580,189950.272142
1581,148011.370842
1582,122244.621219
1583,277530.064021
1584,217821.62565
1585,138755.999672
1586,55281.9956649
1587,94762.7909267
1588,175381.325566
1589,105772.37324
1590,138415.787353
1591,92327.6159593
1592,128224.821382
1593,117642.312045
1594,132408.067962
1595,112569.983493
1596,233177.351713
1597,196729.337876
1598,211397.961715
1599,181584.514712
1600,159173.359269
1601,48200.2603744
1602,123711.718434
1603,55896.3464377
1604,282928.034224
1605,228705.791347
1606,164239.053247
1607,164188.63088
1608,200962.66044
1609,189308.48823
1610,151200.343426
1611,136842.550049
1612,184957.721843
1613,160692.923801
1614,139144.909
1615,88893.9529999
1616,68835.7968141
1617,84945.3177411
1618,117131.014717
1619,135726.719499
1620,166932.414447
1621,134555.804815
1622,136259.485366
1623,257769.641903
1624,215900.434052
1625,114520.699254
1626,175010.075634
1627,190522.015432
1628,281265.424156
1629,175959.302733
1630,358944.155869
1631,239493.023683
1632,248415.01659
1633,170196.828341
1634,186733.45789
1635,171993.864908
1636,149109.144884
1637,198600.618902
1638,186084.492169
1639,186456.450595
1640,252210.407563
1641,184745.621504
1642,248232.065692
1643,214696.588736
1644,228702.998954
1645,212062.778746
1646,156811.33544
1647,157143.698328
1648,130839.068743
1649,133210.36255
1650,109919.186105
1651,115828.461566
1652,98061.0755207
1653,97756.4761669
1654,140750.987746
1655,129205.31446
1656,140302.279055
1657,144959.414251
1658,143962.427738
1659,117502.669682
1660,154251.001763
1661,417801.792617
1662,376682.885903
1663,378021.207058
1664,478948.811286
1665,329509.738984
1666,326594.111849
1667,365610.313057
1668,351869.322122
1669,308792.879445
1670,351673.348274
1671,262425.130355
1672,395072.816052
1673,280455.952458
1674,243015.982336
1675,203764.580868
1676,205672.35254
1677,215207.247733
1678,456149.20816
1679,377309.188556
1680,344132.829858
1681,281870.849572
1682,314189.455848
1683,194401.543717
1684,170768.916916
1685,172675.321448
1686,160930.95265
1687,170339.859037
1688,194256.902012
